Product A;CODE-7;Sales Price Here;FactoryPrice Here;TAX Rate  Here;Discount Rate Here;Quantity Here;Product Description  Here;Low Stock Alert Here
BAGUE 5 DT ;COSME093;5;2,5;;;24;;
BRACELET 4 DT ;COSME094;4;2;;;12;;
CERIE 30 DT ;COSME095;30;15;;;2;;
BRACELET 20 DT ;COSME096;20;10;;;2;;
FAREDA 40 DT ;COSME097;40;15;;;7;;
